id,invoice_id,tanggal_transaksi,customer_id,nama_produk,jenis_produk,kategori_produk,quantity,harga_jual,jenis_pembayaran,jenis_pesanan,nilai_penjualan
1,1,4/11/22,44,Indomie Ayam Spesial,mie-kuah,makanan,2,9000,QRIS-OVO,Dine-In,18000
2,2,8/1/22,10,Indomie Ayam Spesial,mie-kuah,makanan,2,9000,CASH,Delivery,18000
3,3,4/3/22,62,Indomie Rasa Soto Betawi,mie-kuah,makanan,1,10000,QRIS-OTHERS,Delivery,10000
4,4,3/19/22,48,Indomie Rasa Soto Padang,mie-kuah,makanan,3,10000,CASH,Dine-In,30000
5,5,4/29/22,87,Indomie Rasa Sop Buntut,mie-kuah,makanan,2,10000,QRIS-OVO,Dine-In,20000
6,6,7/23/22,80,Indomie Ayam Spesial,mie-kuah,makanan,1,9000,CASH,Delivery,9000
7,7,2/4/22,15,Indomie Baso Sapi,mie-kuah,makanan,1,9000,CASH,Dine-In,9000
8,8,1/8/22,94,Indomie Rasa Sop Buntut,mie-kuah,makanan,2,10000,QRIS-OVO,Dine-In,20000
9,9,1/3/22,6,Indomie Soto Mie,mie-kuah,makanan,2,9000,QRIS-DANA,Dine-In,18000
10,10,6/11/22,86,Indomie Goreng Cabe Ijo,mie-goreng,makanan,1,9000,QRIS-OVO,Delivery,9000
11,11,1/8/22,41,Indomie Goreng Aceh,mie-goreng,makanan,2,9000,QRIS-GOPAY,Delivery,18000
12,12,1/26/22,43,Indomie Goreng Sambal Matah,mie-goreng,makanan,3,9000,CASH,Delivery,27000
13,13,1/11/22,46,Indomie Goreng Cabe Ijo,mie-goreng,makanan,1,9000,QRIS-OTHERS,Dine-In,9000
14,14,7/15/22,58,Indomie Rasa Mi Kocok Bandung,mie-kuah,makanan,2,10000,QRIS-GOPAY,Delivery,20000
15,15,8/19/22,20,Indomie Ayam Spesial,mie-kuah,makanan,1,9000,CASH,Delivery,9000
16,16,5/18/22,9,Indomie Rasa Mi Kocok Bandung,mie-kuah,makanan,1,10000,QRIS-OVO,Delivery,10000
17,17,4/13/22,73,Indomie Soto Mie,mie-kuah,makanan,2,9000,QRIS-GOPAY,Dine-In,18000
18,18,6/1/22,8,Indomie Rasa Mi Kocok Bandung,mie-kuah,makanan,1,10000,QRIS-OTHERS,Dine-In,10000
19,19,5/17/22,66,Indomie Rasa Soto Betawi,mie-kuah,makanan,3,10000,QRIS-GOPAY,Dine-In,30000
20,20,2/27/22,6,Indomie Ayam Spesial,mie-kuah,makanan,1,9000,QRIS-SHOPEEPAY,Dine-In,9000
21,21,6/14/22,14,Indomie Goreng Aceh,mie-goreng,makanan,2,9000,QRIS-OVO,Delivery,18000
22,22,8/21/22,10,Indomie Goreng Spesial,mie-goreng,makanan,2,9000,QRIS-OVO,Delivery,18000
23,23,6/20/22,66,Indomie Rasa Sop Buntut,mie-kuah,makanan,1,10000,QRIS-OTHERS,Delivery,10000
24,24,5/3/22,82,Indomie Rasa Mi Kocok Bandung,mie-kuah,makanan,1,10000,QRIS-SHOPEEPAY,Dine-In,10000
25,25,3/15/22,40,Indomie Ayam Spesial,mie-kuah,makanan,3,9000,QRIS-DANA,Dine-In,27000
26,26,8/20/22,6,Indomie Rasa Mi Kocok Bandung,mie-kuah,makanan,2,10000,QRIS-SHOPEEPAY,Dine-In,20000
27,27,8/13/22,7,Indomie Goreng Aceh,mie-goreng,makanan,3,9000,QRIS-SHOPEEPAY,Delivery,27000
28,28,7/17/22,73,Indomie Baso Sapi,mie-kuah,makanan,2,9000,QRIS-GOPAY,Delivery,18000
29,29,3/29/22,78,Indomie Baso Sapi,mie-kuah,makanan,3,9000,QRIS-SHOPEEPAY,Dine-In,27000
30,30,5/18/22,62,Indomie Rasa Soto Banjar Limau Kuit,mie-kuah,makanan,1,10000,CASH,Delivery,10000
31,31,8/3/22,8,Indomie Goreng Pedas,mie-goreng,makanan,1,9000,QRIS-OTHERS,Delivery,9000
32,32,7/17/22,93,Indomie Goreng Cabe Ijo,mie-goreng,makanan,3,9000,QRIS-DANA,Delivery,27000
33,33,1/25/22,75,Indomie Baso Sapi,mie-kuah,makanan,2,9000,QRIS-DANA,Delivery,18000
34,34,1/11/22,74,indomie Kari Ayam,mie-kuah,makanan,1,9000,CASH,Delivery,9000
